Run,Hexacontroller,PRBS_data_eTx0,PRBS_data_eTx1,PRBS_data_eTx2,PRBS_data_eTx3,PRBS_data_eTx4,PRBS_data_eTx5,BitDiff_eRx0,BitDiff_eRx1,BitDiff_eRx2,BitDiff_eRx3,BitDiff_eRx4,BitDiff_eRx5,nBitsDiff
18_PRBS,43,00100010110011101010011111010000,00100010110011101010011111010000,00100010110011101010011111010000,00100010110011101010010111010000,00100010110011101010011111010000,00100010110011101010011111010000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000001000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,00011000010100011110010001011001,00011000010100011110010001011001,00011000010100011110010001011001,00011000010100011010010001011001,00011000010100011110010001011001,00011000010100011110010001011001,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000100000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,10101111111000000100000110000111,10101111111000000100000110000101,10101111111000000100000110000101,10101111111000000100000110000101,10101111111000000100000110000101,10101111111000000100000110000101,00000000000000000000000000000010,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,01010011111010000111000100100110,01010011111010000111000100100110,01010011111010000111000100100110,01010011111010000111000100100110,01010011111010000111000100101110,01010011111010000111000100100110,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000001000,00000000000000000000000000000000,1
18_PRBS,43,10000111000100100110110101101111,10000111000100100110110101101111,10000111000100100110110101101111,10000111000100100110110101111111,10000111000100100110110101101111,10000111000100100110110101101111,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000010000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,01001111101000011100010110011011,01001111101000011100010010011011,01001111101000011100010010011011,01001111101000011100010010011011,01001111101000011100010010011011,01001111101000011100010010011011,00000000000000000000000100000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,00001100001010001111001000101100,00001100001010001111001000101100,00001100001010001111001000101100,00001100001010001111001000101100,00001100001010001111001000101100,00001100101010001111001000101100,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000100000000000000000000000,1
18_PRBS,43,00001110001001001101101011011110,00001110001001001101101011010110,00001110001001001101101011011110,00001110001001001101101011011110,00001110001001001101101011011110,00001110001001001101101011011110,00000000000000000000000000000000,00000000000000000000000000001000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,10001111001000101100011010100111,10001111001000101100111010100111,10001111001000101100111010100111,10001111001000101100111010100111,10001111001000101100111010100111,10001111001000101100111010100111,00000000000000000000100000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,10000001000001100001010001111001,10000001000001100001010001111001,10000001000001100001010001111001,10000001000001100001010101111001,10000001000001100001010001111001,10000001000001100001010001111001,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000100000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,01100011010010111011100110010101,01100011010010111011100110010101,01100011010010111011100110010101,01100011010010111011100110000101,01100011010010111011100110010101,01100011010010111011100110010101,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000010000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,11000000100000110000101000111100,11000000100000110000101000111100,11000000100000110000101000111100,11000000100000110000101000111100,11000000100000110000100000111100,11000000100000110000101000111100,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000001000000000,00000000000000000000000000000000,1
18_PRBS,43,00111100100010110011101010011111,00111100100010110011101010011111,00111100100010110011111010011111,00111100100010110011101010011111,00111100100010110011101010011111,00111100100010110011101010011111,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000010000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,10011111010000111000100100110110,10011111010000111000100100110110,10011111010000110000100100110110,10011111010000111000100100110110,10011111010000111000100100110110,10011111010000111000100100110110,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000001000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,00101000111100100010110011101010,00101000111000100010110011101010,00101000111100100010110011101010,00101000111100100010110011101010,00101000111100100010110011101010,00101000111100100010110011101010,00000000000000000000000000000000,00000000000100000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,01001011101110011001010101111111,01001011101111011001010101111111,01001011101110011001010101111111,01001011101110011001010101111111,01001011101110011001010101111111,01001011101110011001010101111111,00000000000000000000000000000000,00000000000001000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,11110000001000001100001010001111,11110000001000001100001010001111,11110000001000001100001010001111,11110000001000001100001010001111,11100000001000001100001010001111,11110000001000001100001010001111,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00010000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,00001000001100001010001111001000,00001000001100001010001111001000,00001000001100001010001110001000,00001000001100001010001111001000,00001000001100001010001111001000,00001000001100001010001111001000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000001000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,00110010101011111110000001000001,00110010101011111110000001000001,00110010101011111110000001000001,00110010101011111110000000000001,00110010101011111110000001000001,00110010101011111110000001000001,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000001000000,00000000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,01010101111111000000100000110100,01010101111111000000100000110000,01010101111111000000100000110000,01010101111111000000100000110000,01010101111111000000100000110000,01010101111111000000100000110000,00000000000000000000000000000100,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,11000000100000110000101000111100,11000000100000110000101000111100,11000000100000110000101000111110,11000000100000110000101000111100,11000000100000110000101000111100,11000000100000110000101000111100,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000010,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,01001111101000011100110010011011,01001111101000011100010010011011,01001111101000011100010010011011,01001111101000011100010010011011,01001111101000011100010010011011,01001111101000011100010010011011,00000000000000000000100000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,00010110011101010011111010000111,00010110011001010011111010000111,00010110011101010011111010000111,00010110011101010011111010000111,00010110011101010011111010000111,00010110011101010011111010000111,00000000000000000000000000000000,00000000000100000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,01001111101000011100010010011011,01001111101000011100010010011011,01001111101000011100010010011011,01001111101000011100010010011001,01001111101000011100010010011011,01001111101000011100010010011011,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000010,00000000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,11001000101100111010100111110100,11001000101100111010100111110100,11001000101100111010100111110100,11001000101100111010100111110100,11001000101100111010100111110100,11001000100100111010100111110100,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000001000000000000000000000,1
19_PRBS,43,00100000110000101000111100100010,00100000110000101000111100100010,00100000110000101000111100100010,00100000110000101000111100100010,00100000110000101000110100100010,00100000110000101000111100100010,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000001000000000,00000000000000000000000000000000,1
19_PRBS,43,11000000100000110000101000111100,11000000100000110000101000111100,11000000100000110000101000111100,11000000100000110000101000111100,11001000100000110000101000111100,11000000100000110000101000111100,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00001000000000000000000000000000,00000000000000000000000000000000,1
19_PRBS,43,11100000010000011000010100011110,11100000010000011000010100011110,11100000010000011000010100011110,11100000010000011000010100011110,11100000010000011000010100011110,11100000010000011000011100011110,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000001000000000,1
22_PRBS,43,11101000011100010010011011010110,11101000011100010010011011010110,11101000011100010010011011010110,11101000011100010010011011010110,11101000011100010010011011010110,11101000011100010010001011010110,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000010000000000,1
22_PRBS,43,11100110010101011110110000001000,11100110010101011111110000001000,11100110010101011111110000001000,11100110010101011111110000001000,11100110010101011111110000001000,11100110010101011111110000001000,00000000000000000001000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
22_PRBS,43,00000110000101000111100100010110,00000110000101000111100100010110,00000110000101000110100100010110,00000110000101000111100100010110,00000110000101000111100100010110,00000110000101000111100100010110,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000001000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
